id,cpc规格化,cpm规格化,is_anomaly
1,0.308393173,0.043522555,TRUE
2,0.095486998,0.03808116,FALSE
3,0.112007607,0.044390671,FALSE
4,0.165021431,0.085365,FALSE
5,0.091628569,0.06841837,FALSE
6,0.129375391,0.059153181,FALSE
7,0.074793658,0.054345617,FALSE
8,0.168913366,0.077174829,FALSE
9,0.20733699,0.091779755,FALSE
10,0.180984048,0.079829178,FALSE
11,0.137207442,0.066526444,FALSE
12,0.121673599,0.057648385,FALSE
13,0.064263707,0.026043545,FALSE
14,0.095094943,0.039983761,FALSE
15,0.092351867,0.036856719,FALSE
16,0.103968971,0.039269114,FALSE
17,0.080080303,0.028539276,FALSE
18,0.198806593,0.043859758,FALSE
19,0.103268021,0.080883392,FALSE
20,0.16264419,0.053285478,FALSE
21,0.221574366,0.090109403,FALSE
22,0.274056617,0.173024232,FALSE
23,0.280317522,0.171655963,FALSE
24,0.201456478,0.055706151,FALSE
25,0.226838568,0.113971131,FALSE
26,0.202872773,0.099403972,FALSE
27,0.190589036,0.1064519,FALSE
28,0.119647286,0.076982024,FALSE
29,0.105400854,0.066391986,FALSE
30,0.109649256,0.066321136,FALSE
31,0.122607337,0.058869448,FALSE
32,0.106972973,0.072845894,FALSE
33,0.117622489,0.058796442,FALSE
34,0.09787811,0.046276856,FALSE
35,0.125874562,0.057415297,FALSE
36,0.085669562,0.036088188,FALSE
37,0.103550776,0.044171032,FALSE
38,0.098075728,0.039957255,FALSE
39,0.108514022,0.040850124,FALSE
40,0.498711374,0.034317346,TRUE
41,0.119405077,0.037965254,FALSE
42,0.100066482,0.034653004,FALSE
43,0.097750229,0.02889763,FALSE
44,0.237361991,0.40167263,TRUE
45,0.395538837,0.187078385,FALSE
46,0.295940752,0.121074217,FALSE
47,0.279414405,0.129330316,FALSE
48,0.565382503,0.879467757,TRUE
49,0.358046807,0.085447708,FALSE
50,0.121045279,0.073498224,FALSE
51,0.106820923,0.056143548,FALSE
52,0.055752808,0.029220495,FALSE
53,0.054988709,0.021774403,FALSE
54,0.056889775,0.020052493,FALSE
55,0.048855333,0.023475927,FALSE
56,0.063298566,0.023291242,FALSE
57,0.054640409,0.0274211,FALSE
58,0.04149139,0.012147517,FALSE
