id,cpc规格化,cpm规格化,is_anomaly
1,0.308393173,0.043522555,TRUE
2,0.095486998,0.03808116,FALSE
3,0.112007607,0.044390671,FALSE
4,0.165021431,0.085365,FALSE
5,0.091628569,0.06841837,FALSE
6,0.129375391,0.059153181,FALSE
7,0.074793658,0.054345617,FALSE
8,0.168913366,0.077174829,FALSE
9,0.20733699,0.091779755,FALSE
10,0.180984048,0.079829178,FALSE
11,0.137207442,0.066526444,FALSE
12,0.121673599,0.057648385,FALSE
13,0.064263707,0.026043545,FALSE
14,0.095094943,0.039983761,FALSE
15,0.092351867,0.036856719,FALSE
16,0.103968971,0.039269114,FALSE
17,0.080080303,0.028539276,FALSE
18,0.498711374,0.034317346,TRUE
19,0.565382503,0.879467757,TRUE
229,0.047096236,0.189917716,TRUE
258,0.954852905,0.027510764,TRUE
259,1,0.040363655,TRUE
